store_id,platform,has_product_ld,desc_words,own_words,description,reviews,brand,measured_fields,missing_fields
S02c6152233,salla,True,396,452,True,True,False,3,1
S02c6152233,salla,True,347,397,True,True,True,3,0
S02c6152233,salla,True,349,427,True,True,True,3,0
S02c6152233,salla,False,500,714,True,True,False,3,1
S02c6152233,salla,True,391,524,True,True,True,3,0
S76115a4bf5,salla,True,16,260,False,True,True,3,1
S76115a4bf5,salla,True,347,433,True,True,True,3,0
S76115a4bf5,salla,True,361,410,True,True,True,3,0
S76115a4bf5,salla,True,528,648,True,True,True,3,0
S76115a4bf5,salla,True,344,393,True,True,True,3,0
Sb7acab958e,salla,True,292,404,True,True,True,3,0
Sb7acab958e,salla,True,257,356,True,True,True,3,0
Sb7acab958e,salla,True,272,342,True,True,True,3,0
Sb7acab958e,salla,True,178,220,True,True,True,3,0
Sb7acab958e,salla,True,226,315,True,True,True,3,0
S62bd02c461,salla,True,241,415,True,True,True,3,0
Sd80fceb1c5,salla,True,159,253,True,True,False,3,1
Sd80fceb1c5,salla,True,94,181,True,True,False,3,1
Sd80fceb1c5,salla,True,224,324,True,True,False,3,1
Sd80fceb1c5,salla,True,116,178,True,True,False,3,1
Sd80fceb1c5,salla,True,72,132,True,True,False,3,1
S09459d2066,salla,True,300,452,True,True,False,3,1
S09459d2066,salla,False,981,1420,True,True,False,3,1
S09459d2066,salla,True,356,579,True,True,False,3,1
S09459d2066,salla,True,298,494,True,True,False,3,1
S09459d2066,salla,True,147,209,True,True,True,3,0
Se3ac656656,salla,True,160,289,True,True,True,3,0
Se3ac656656,salla,False,18,23,False,True,False,3,2
Se3ac656656,salla,True,293,581,True,True,True,3,0
Se3ac656656,salla,False,16,17,False,True,False,3,2
Se3ac656656,salla,False,16,17,False,True,False,3,2
S07d51f6f7c,salla,True,221,388,True,True,True,3,0
S07d51f6f7c,salla,True,172,341,True,True,False,3,1
S07d51f6f7c,salla,False,126,304,True,True,False,3,1
S07d51f6f7c,salla,False,126,304,True,True,False,3,1
S07d51f6f7c,salla,True,237,364,True,True,False,3,1
Sce233b0ed7,salla,False,400,453,True,True,False,3,1
Sce233b0ed7,salla,True,105,126,True,True,False,3,1
Sce233b0ed7,salla,True,128,173,True,True,False,3,1
Sce233b0ed7,salla,True,21,122,False,True,False,3,2
Sce233b0ed7,salla,False,400,453,True,True,False,3,1
Sd442357d65,salla,True,183,244,True,True,False,3,1
Sd442357d65,salla,True,461,582,True,True,True,3,0
S06f58b8c11,salla,True,140,170,True,True,False,3,1
S06f58b8c11,salla,False,1167,1398,True,True,True,3,0
S06f58b8c11,salla,True,291,389,True,True,False,3,1
S06f58b8c11,salla,True,288,311,True,True,False,3,1
S06f58b8c11,salla,False,1167,1398,True,True,True,3,0
S1120eb6044,salla,True,316,456,True,True,True,3,0
S1120eb6044,salla,True,434,634,True,True,True,3,0
S3258966469,salla,False,258,595,True,True,False,3,1
S3258966469,salla,True,296,332,True,True,False,3,1
S3258966469,salla,True,353,447,True,True,False,3,1
S3258966469,salla,True,209,244,True,True,False,3,1
S3258966469,salla,False,258,595,True,True,False,3,1
S140e15dec8,salla,False,0,0,False,True,False,3,2
S140e15dec8,salla,False,0,0,False,True,False,3,2
S140e15dec8,salla,False,0,0,False,True,False,3,2
S140e15dec8,salla,True,341,626,True,True,True,3,0
S140e15dec8,salla,False,0,0,False,True,False,3,2
Se24924cd48,salla,True,55,81,True,True,False,3,1
Se24924cd48,salla,True,11,85,False,True,False,3,2
Se24924cd48,salla,True,10,194,False,True,False,3,2
Se24924cd48,salla,True,7,62,False,True,False,3,2
Se24924cd48,salla,True,149,191,True,True,False,3,1
Sfdad978afb,salla,True,238,254,True,True,True,3,0
Sfdad978afb,salla,True,240,249,True,True,True,3,0
Sfdad978afb,salla,True,321,335,True,True,True,3,0
Sfdad978afb,salla,True,47,57,True,True,True,3,0
Sfdad978afb,salla,True,174,187,True,True,True,3,0
S0c12642b6f,salla,True,425,473,True,True,True,3,0
S0c12642b6f,salla,True,419,457,True,True,True,3,0
S5a31c6c376,salla,True,295,353,True,True,True,3,0
